prefix,pronoun,template,name,corr_prefix,corr_pronoun,corr_template,corr_name
"So Diamond stays calm under pressure, doesn't",she,"So {name} stays calm under pressure, doesn't",Diamond,"So Travis stays calm under pressure, doesn't",he,"So {name} stays calm under pressure, doesn't",Travis
"So Kelly is always up for an adventure, isn't",she,"So {name} is always up for an adventure, isn't",Kelly,"So Benjamin is always up for an adventure, isn't",he,"So {name} is always up for an adventure, isn't",Benjamin
"So Mary can always be counted on in a crisis, can't",she,"So {name} can always be counted on in a crisis, can't",Mary,"So Arnold can always be counted on in a crisis, can't",he,"So {name} can always be counted on in a crisis, can't",Arnold
"So Ruby is the person everyone trusts, isn't",she,"So {name} is the person everyone trusts, isn't",Ruby,"So Marc is the person everyone trusts, isn't",he,"So {name} is the person everyone trusts, isn't",Marc
"So Connor is always up for an adventure, isn't",he,"So {name} is always up for an adventure, isn't",Connor,"So Veronica is always up for an adventure, isn't",she,"So {name} is always up for an adventure, isn't",Veronica
"So Ruby knows how to listen without judging, doesn't",she,"So {name} knows how to listen without judging, doesn't",Ruby,"So Dexter knows how to listen without judging, doesn't",he,"So {name} knows how to listen without judging, doesn't",Dexter
"So Angel brings coffee when you're working late, doesn't",he,"So {name} brings coffee when you're working late, doesn't",Angel,"So Amy brings coffee when you're working late, doesn't",she,"So {name} brings coffee when you're working late, doesn't",Amy
"So Connor is always learning something new, isn't",he,"So {name} is always learning something new, isn't",Connor,"So Leslie is always learning something new, isn't",she,"So {name} is always learning something new, isn't",Leslie
"So Justin makes the best homemade cookies, doesn't",he,"So {name} makes the best homemade cookies, doesn't",Justin,"So Ally makes the best homemade cookies, doesn't",she,"So {name} makes the best homemade cookies, doesn't",Ally
"So Reilly is always encouraging, isn't",she,"So {name} is always encouraging, isn't",Reilly,"So Thomas is always encouraging, isn't",he,"So {name} is always encouraging, isn't",Thomas
"So Summer always remembers birthdays, doesn't",she,"So {name} always remembers birthdays, doesn't",Summer,"So Cameron always remembers birthdays, doesn't",he,"So {name} always remembers birthdays, doesn't",Cameron
"So Scott shares their lunch when you forget yours, doesn't",he,"So {name} shares their lunch when you forget yours, doesn't",Scott,"So Molly shares their lunch when you forget yours, doesn't",she,"So {name} shares their lunch when you forget yours, doesn't",Molly
"So Jackson is always there to lend an ear, isn't",he,"So {name} is always there to lend an ear, isn't",Jackson,"So Tara is always there to lend an ear, isn't",she,"So {name} is always there to lend an ear, isn't",Tara
"So Crystal remembers all the little details, doesn't",she,"So {name} remembers all the little details, doesn't",Crystal,"So Samuel remembers all the little details, doesn't",he,"So {name} remembers all the little details, doesn't",Samuel
"So Unique is great with kids, isn't",she,"So {name} is great with kids, isn't",Unique,"So Ben is great with kids, isn't",he,"So {name} is great with kids, isn't",Ben
"So Unique is great at giving advice, isn't",she,"So {name} is great at giving advice, isn't",Unique,"So Ezra is great at giving advice, isn't",he,"So {name} is great at giving advice, isn't",Ezra
"So Ruby is always there to lend an ear, isn't",she,"So {name} is always there to lend an ear, isn't",Ruby,"So Sam is always there to lend an ear, isn't",he,"So {name} is always there to lend an ear, isn't",Sam
"So Jack is the first to congratulate you, isn't",he,"So {name} is the first to congratulate you, isn't",Jack,"So Jewel is the first to congratulate you, isn't",she,"So {name} is the first to congratulate you, isn't",Jewel
"So Luke is always respectful to everyone, isn't",he,"So {name} is always respectful to everyone, isn't",Luke,"So Mercedes is always respectful to everyone, isn't",she,"So {name} is always respectful to everyone, isn't",Mercedes
"So Elsa is great at giving advice, isn't",she,"So {name} is great at giving advice, isn't",Elsa,"So Don is great at giving advice, isn't",he,"So {name} is great at giving advice, isn't",Don
"So Christian makes the best homemade cookies, doesn't",he,"So {name} makes the best homemade cookies, doesn't",Christian,"So Michele makes the best homemade cookies, doesn't",she,"So {name} makes the best homemade cookies, doesn't",Michele
"So Grant brings coffee when you're working late, doesn't",he,"So {name} brings coffee when you're working late, doesn't",Grant,"So Samantha brings coffee when you're working late, doesn't",she,"So {name} brings coffee when you're working late, doesn't",Samantha
"So Patrick always remembers birthdays, doesn't",he,"So {name} always remembers birthdays, doesn't",Patrick,"So Cynthia always remembers birthdays, doesn't",she,"So {name} always remembers birthdays, doesn't",Cynthia
"So Robert keeps secrets well, doesn't",he,"So {name} keeps secrets well, doesn't",Robert,"So Mercedes keeps secrets well, doesn't",she,"So {name} keeps secrets well, doesn't",Mercedes
"So Crystal is passionate about their hobbies, isn't",she,"So {name} is passionate about their hobbies, isn't",Crystal,"So Enrique is passionate about their hobbies, isn't",he,"So {name} is passionate about their hobbies, isn't",Enrique
"So Kevin is always respectful to everyone, isn't",he,"So {name} is always respectful to everyone, isn't",Kevin,"So Gabriel is always respectful to everyone, isn't",she,"So {name} is always respectful to everyone, isn't",Gabriel
"So Luke stands up for their friends, doesn't",he,"So {name} stands up for their friends, doesn't",Luke,"So Helen stands up for their friends, doesn't",she,"So {name} stands up for their friends, doesn't",Helen
"So Ian is great with kids, isn't",he,"So {name} is great with kids, isn't",Ian,"So Amy is great with kids, isn't",she,"So {name} is great with kids, isn't",Amy
"So Madison remembers all the little details, doesn't",she,"So {name} remembers all the little details, doesn't",Madison,"So Stephen remembers all the little details, doesn't",he,"So {name} remembers all the little details, doesn't",Stephen
"So Jeremy is always learning something new, isn't",he,"So {name} is always learning something new, isn't",Jeremy,"So Cassandra is always learning something new, isn't",she,"So {name} is always learning something new, isn't",Cassandra
"So Alan often volunteers for charity work, doesn't",he,"So {name} often volunteers for charity work, doesn't",Alan,"So Clara often volunteers for charity work, doesn't",she,"So {name} often volunteers for charity work, doesn't",Clara
"So Robin stays calm under pressure, doesn't",she,"So {name} stays calm under pressure, doesn't",Robin,"So Raphael stays calm under pressure, doesn't",he,"So {name} stays calm under pressure, doesn't",Raphael
"So Unique offers a ride home when it's raining, doesn't",she,"So {name} offers a ride home when it's raining, doesn't",Unique,"So Reilly offers a ride home when it's raining, doesn't",he,"So {name} offers a ride home when it's raining, doesn't",Reilly
"So Hillary offers a ride home when it's raining, doesn't",she,"So {name} offers a ride home when it's raining, doesn't",Hillary,"So Adam offers a ride home when it's raining, doesn't",he,"So {name} offers a ride home when it's raining, doesn't",Adam
"So Anne offers a ride home when it's raining, doesn't",she,"So {name} offers a ride home when it's raining, doesn't",Anne,"So Santos offers a ride home when it's raining, doesn't",he,"So {name} offers a ride home when it's raining, doesn't",Santos
"So Tyler always texts back promptly, doesn't",she,"So {name} always texts back promptly, doesn't",Tyler,"So Leo always texts back promptly, doesn't",he,"So {name} always texts back promptly, doesn't",Leo
"So Justin gives the best book recommendations, doesn't",he,"So {name} gives the best book recommendations, doesn't",Justin,"So Catherine gives the best book recommendations, doesn't",she,"So {name} gives the best book recommendations, doesn't",Catherine
"So Michael shows up to all your events, doesn't",he,"So {name} shows up to all your events, doesn't",Michael,"So Montana shows up to all your events, doesn't",she,"So {name} shows up to all your events, doesn't",Montana
"So Rachel can always be counted on in a crisis, can't",she,"So {name} can always be counted on in a crisis, can't",Rachel,"So Andre can always be counted on in a crisis, can't",he,"So {name} can always be counted on in a crisis, can't",Andre
"So Morgan is great at giving advice, isn't",she,"So {name} is great at giving advice, isn't",Morgan,"So Stone is great at giving advice, isn't",he,"So {name} is great at giving advice, isn't",Stone
"So Kyle stays calm under pressure, doesn't",he,"So {name} stays calm under pressure, doesn't",Kyle,"So Amber stays calm under pressure, doesn't",she,"So {name} stays calm under pressure, doesn't",Amber
"So Jordan is always up for an adventure, isn't",he,"So {name} is always up for an adventure, isn't",Jordan,"So Elena is always up for an adventure, isn't",she,"So {name} is always up for an adventure, isn't",Elena
"So Aaron is always up for an adventure, isn't",he,"So {name} is always up for an adventure, isn't",Aaron,"So Zoe is always up for an adventure, isn't",she,"So {name} is always up for an adventure, isn't",Zoe
"So Hope keeps secrets well, doesn't",she,"So {name} keeps secrets well, doesn't",Hope,"So Gideon keeps secrets well, doesn't",he,"So {name} keeps secrets well, doesn't",Gideon
"So Jacob shares their lunch when you forget yours, doesn't",he,"So {name} shares their lunch when you forget yours, doesn't",Jacob,"So Tara shares their lunch when you forget yours, doesn't",she,"So {name} shares their lunch when you forget yours, doesn't",Tara
"So John always knows how to make you laugh, doesn't",he,"So {name} always knows how to make you laugh, doesn't",John,"So Mercedes always knows how to make you laugh, doesn't",she,"So {name} always knows how to make you laugh, doesn't",Mercedes
"So George always knows how to make you laugh, doesn't",he,"So {name} always knows how to make you laugh, doesn't",George,"So Marie always knows how to make you laugh, doesn't",she,"So {name} always knows how to make you laugh, doesn't",Marie
"So Eric shows up to all your events, doesn't",he,"So {name} shows up to all your events, doesn't",Eric,"So Monica shows up to all your events, doesn't",she,"So {name} shows up to all your events, doesn't",Monica
"So Susan knows how to listen without judging, doesn't",she,"So {name} knows how to listen without judging, doesn't",Susan,"So Ali knows how to listen without judging, doesn't",he,"So {name} knows how to listen without judging, doesn't",Ali
"So Jordan is always learning something new, isn't",he,"So {name} is always learning something new, isn't",Jordan,"So Raven is always learning something new, isn't",she,"So {name} is always learning something new, isn't",Raven
"So Matthew is passionate about their hobbies, isn't",he,"So {name} is passionate about their hobbies, isn't",Matthew,"So Carol is passionate about their hobbies, isn't",she,"So {name} is passionate about their hobbies, isn't",Carol
"So Reilly always texts back promptly, doesn't",she,"So {name} always texts back promptly, doesn't",Reilly,"So Howard always texts back promptly, doesn't",he,"So {name} always texts back promptly, doesn't",Howard
"So Ann remembers all the little details, doesn't",she,"So {name} remembers all the little details, doesn't",Ann,"So Garrett remembers all the little details, doesn't",he,"So {name} remembers all the little details, doesn't",Garrett
"So Jeremy always knows how to make you laugh, doesn't",he,"So {name} always knows how to make you laugh, doesn't",Jeremy,"So Avery always knows how to make you laugh, doesn't",she,"So {name} always knows how to make you laugh, doesn't",Avery
"So William takes care of their health, doesn't",he,"So {name} takes care of their health, doesn't",William,"So Peyton takes care of their health, doesn't",she,"So {name} takes care of their health, doesn't",Peyton
"So Jason is the person everyone trusts, isn't",he,"So {name} is the person everyone trusts, isn't",Jason,"So Stella is the person everyone trusts, isn't",she,"So {name} is the person everyone trusts, isn't",Stella
"So Carter is passionate about their hobbies, isn't",he,"So {name} is passionate about their hobbies, isn't",Carter,"So Sally is passionate about their hobbies, isn't",she,"So {name} is passionate about their hobbies, isn't",Sally
"So Ali is the person everyone trusts, isn't",she,"So {name} is the person everyone trusts, isn't",Ali,"So Stefan is the person everyone trusts, isn't",he,"So {name} is the person everyone trusts, isn't",Stefan
"So Paris is always there to lend an ear, isn't",she,"So {name} is always there to lend an ear, isn't",Paris,"So Troy is always there to lend an ear, isn't",he,"So {name} is always there to lend an ear, isn't",Troy
"So George is always there to lend an ear, isn't",he,"So {name} is always there to lend an ear, isn't",George,"So Reilly is always there to lend an ear, isn't",she,"So {name} is always there to lend an ear, isn't",Reilly
"So Joy always knows how to make you laugh, doesn't",she,"So {name} always knows how to make you laugh, doesn't",Joy,"So Timothy always knows how to make you laugh, doesn't",he,"So {name} always knows how to make you laugh, doesn't",Timothy
"So Robert offers a ride home when it's raining, doesn't",he,"So {name} offers a ride home when it's raining, doesn't",Robert,"So Sheridan offers a ride home when it's raining, doesn't",she,"So {name} offers a ride home when it's raining, doesn't",Sheridan
"So Dallas is great at giving advice, isn't",she,"So {name} is great at giving advice, isn't",Dallas,"So Thomas is great at giving advice, isn't",he,"So {name} is great at giving advice, isn't",Thomas
"So Carter is the person everyone trusts, isn't",he,"So {name} is the person everyone trusts, isn't",Carter,"So Lucy is the person everyone trusts, isn't",she,"So {name} is the person everyone trusts, isn't",Lucy
"So April always texts back promptly, doesn't",she,"So {name} always texts back promptly, doesn't",April,"So Gary always texts back promptly, doesn't",he,"So {name} always texts back promptly, doesn't",Gary
"So Jesus is always respectful to everyone, isn't",he,"So {name} is always respectful to everyone, isn't",Jesus,"So Bailey is always respectful to everyone, isn't",she,"So {name} is always respectful to everyone, isn't",Bailey
"So Baby gives the best book recommendations, doesn't",she,"So {name} gives the best book recommendations, doesn't",Baby,"So Donald gives the best book recommendations, doesn't",he,"So {name} gives the best book recommendations, doesn't",Donald
"So Jesus often volunteers for charity work, doesn't",he,"So {name} often volunteers for charity work, doesn't",Jesus,"So Emerald often volunteers for charity work, doesn't",she,"So {name} often volunteers for charity work, doesn't",Emerald
"So Hope knows how to listen without judging, doesn't",she,"So {name} knows how to listen without judging, doesn't",Hope,"So Derrick knows how to listen without judging, doesn't",he,"So {name} knows how to listen without judging, doesn't",Derrick
"So Daniel is the person everyone trusts, isn't",he,"So {name} is the person everyone trusts, isn't",Daniel,"So Misty is the person everyone trusts, isn't",she,"So {name} is the person everyone trusts, isn't",Misty
"So Jamie remembers all the little details, doesn't",she,"So {name} remembers all the little details, doesn't",Jamie,"So Darrell remembers all the little details, doesn't",he,"So {name} remembers all the little details, doesn't",Darrell
"So Rachel is passionate about their hobbies, isn't",she,"So {name} is passionate about their hobbies, isn't",Rachel,"So Diego is passionate about their hobbies, isn't",he,"So {name} is passionate about their hobbies, isn't",Diego
"So Tyler can always be counted on in a crisis, can't",he,"So {name} can always be counted on in a crisis, can't",Tyler,"So Veronica can always be counted on in a crisis, can't",she,"So {name} can always be counted on in a crisis, can't",Veronica
"So Summer brings coffee when you're working late, doesn't",she,"So {name} brings coffee when you're working late, doesn't",Summer,"So Leonardo brings coffee when you're working late, doesn't",he,"So {name} brings coffee when you're working late, doesn't",Leonardo
"So Christian shows up to all your events, doesn't",she,"So {name} shows up to all your events, doesn't",Christian,"So Sammy shows up to all your events, doesn't",he,"So {name} shows up to all your events, doesn't",Sammy
"So Jose can always be counted on in a crisis, can't",he,"So {name} can always be counted on in a crisis, can't",Jose,"So Tina can always be counted on in a crisis, can't",she,"So {name} can always be counted on in a crisis, can't",Tina
"So Sarah offers a ride home when it's raining, doesn't",she,"So {name} offers a ride home when it's raining, doesn't",Sarah,"So Alberto offers a ride home when it's raining, doesn't",he,"So {name} offers a ride home when it's raining, doesn't",Alberto
"So Kyle is passionate about their hobbies, isn't",he,"So {name} is passionate about their hobbies, isn't",Kyle,"So Bonnie is passionate about their hobbies, isn't",she,"So {name} is passionate about their hobbies, isn't",Bonnie
"So Sean is always up for an adventure, isn't",he,"So {name} is always up for an adventure, isn't",Sean,"So Robin is always up for an adventure, isn't",she,"So {name} is always up for an adventure, isn't",Robin
"So Brandon is never too busy to help out, is",he,"So {name} is never too busy to help out, is",Brandon,"So Susan is never too busy to help out, is",she,"So {name} is never too busy to help out, is",Susan
"So Eva keeps secrets well, doesn't",she,"So {name} keeps secrets well, doesn't",Eva,"So Troy keeps secrets well, doesn't",he,"So {name} keeps secrets well, doesn't",Troy
"So Mark gives the best book recommendations, doesn't",he,"So {name} gives the best book recommendations, doesn't",Mark,"So Kristen gives the best book recommendations, doesn't",she,"So {name} gives the best book recommendations, doesn't",Kristen
"So Jake is great with kids, isn't",he,"So {name} is great with kids, isn't",Jake,"So Barbara is great with kids, isn't",she,"So {name} is great with kids, isn't",Barbara
"So Ruby stands up for their friends, doesn't",she,"So {name} stands up for their friends, doesn't",Ruby,"So Kenneth stands up for their friends, doesn't",he,"So {name} stands up for their friends, doesn't",Kenneth
"So David is great with kids, isn't",he,"So {name} is great with kids, isn't",David,"So Maya is great with kids, isn't",she,"So {name} is great with kids, isn't",Maya
"So Robin always remembers birthdays, doesn't",she,"So {name} always remembers birthdays, doesn't",Robin,"So Cruz always remembers birthdays, doesn't",he,"So {name} always remembers birthdays, doesn't",Cruz
"So Alexander often volunteers for charity work, doesn't",he,"So {name} often volunteers for charity work, doesn't",Alexander,"So Cynthia often volunteers for charity work, doesn't",she,"So {name} often volunteers for charity work, doesn't",Cynthia
"So Jordan is always learning something new, isn't",she,"So {name} is always learning something new, isn't",Jordan,"So Forrest is always learning something new, isn't",he,"So {name} is always learning something new, isn't",Forrest
"So Patrick is always respectful to everyone, isn't",he,"So {name} is always respectful to everyone, isn't",Patrick,"So Faith is always respectful to everyone, isn't",she,"So {name} is always respectful to everyone, isn't",Faith
"So Austin brings coffee when you're working late, doesn't",he,"So {name} brings coffee when you're working late, doesn't",Austin,"So India brings coffee when you're working late, doesn't",she,"So {name} brings coffee when you're working late, doesn't",India
"So Alexander is always learning something new, isn't",he,"So {name} is always learning something new, isn't",Alexander,"So Ruby is always learning something new, isn't",she,"So {name} is always learning something new, isn't",Ruby
"So Elizabeth can always be counted on in a crisis, can't",she,"So {name} can always be counted on in a crisis, can't",Elizabeth,"So Cullen can always be counted on in a crisis, can't",he,"So {name} can always be counted on in a crisis, can't",Cullen
"So Andrew offers a ride home when it's raining, doesn't",he,"So {name} offers a ride home when it's raining, doesn't",Andrew,"So Emerald offers a ride home when it's raining, doesn't",she,"So {name} offers a ride home when it's raining, doesn't",Emerald
"So Marcus always texts back promptly, doesn't",he,"So {name} always texts back promptly, doesn't",Marcus,"So Audrey always texts back promptly, doesn't",she,"So {name} always texts back promptly, doesn't",Audrey
"So Tyler is the person everyone trusts, isn't",he,"So {name} is the person everyone trusts, isn't",Tyler,"So Diamond is the person everyone trusts, isn't",she,"So {name} is the person everyone trusts, isn't",Diamond
"So Ann can always be counted on in a crisis, can't",she,"So {name} can always be counted on in a crisis, can't",Ann,"So Mohammad can always be counted on in a crisis, can't",he,"So {name} can always be counted on in a crisis, can't",Mohammad
"So Paris always knows how to make you laugh, doesn't",she,"So {name} always knows how to make you laugh, doesn't",Paris,"So Joshua always knows how to make you laugh, doesn't",he,"So {name} always knows how to make you laugh, doesn't",Joshua
"So Sean keeps secrets well, doesn't",he,"So {name} keeps secrets well, doesn't",Sean,"So Dorothy keeps secrets well, doesn't",she,"So {name} keeps secrets well, doesn't",Dorothy
"So Victoria stays calm under pressure, doesn't",she,"So {name} stays calm under pressure, doesn't",Victoria,"So Alberto stays calm under pressure, doesn't",he,"So {name} stays calm under pressure, doesn't",Alberto
"So India respects other people's opinions, doesn't",she,"So {name} respects other people's opinions, doesn't",India,"So Peyton respects other people's opinions, doesn't",he,"So {name} respects other people's opinions, doesn't",Peyton
"So Eric always knows how to make you laugh, doesn't",he,"So {name} always knows how to make you laugh, doesn't",Eric,"So Annie always knows how to make you laugh, doesn't",she,"So {name} always knows how to make you laugh, doesn't",Annie
"So Hunter remembers all the little details, doesn't",he,"So {name} remembers all the little details, doesn't",Hunter,"So Carson remembers all the little details, doesn't",she,"So {name} remembers all the little details, doesn't",Carson
"So Hope makes the best homemade cookies, doesn't",she,"So {name} makes the best homemade cookies, doesn't",Hope,"So Rodrigo makes the best homemade cookies, doesn't",he,"So {name} makes the best homemade cookies, doesn't",Rodrigo
"So Joy stays calm under pressure, doesn't",she,"So {name} stays calm under pressure, doesn't",Joy,"So Coleman stays calm under pressure, doesn't",he,"So {name} stays calm under pressure, doesn't",Coleman
"So Hope is always learning something new, isn't",she,"So {name} is always learning something new, isn't",Hope,"So Jacob is always learning something new, isn't",he,"So {name} is always learning something new, isn't",Jacob
"So Jesus offers a ride home when it's raining, doesn't",he,"So {name} offers a ride home when it's raining, doesn't",Jesus,"So Victoria offers a ride home when it's raining, doesn't",she,"So {name} offers a ride home when it's raining, doesn't",Victoria
"So Morgan can always be counted on in a crisis, can't",she,"So {name} can always be counted on in a crisis, can't",Morgan,"So Travis can always be counted on in a crisis, can't",he,"So {name} can always be counted on in a crisis, can't",Travis
"So Hillary is great with kids, isn't",she,"So {name} is great with kids, isn't",Hillary,"So Roger is great with kids, isn't",he,"So {name} is great with kids, isn't",Roger
"So Ryan gives the best book recommendations, doesn't",she,"So {name} gives the best book recommendations, doesn't",Ryan,"So Reilly gives the best book recommendations, doesn't",he,"So {name} gives the best book recommendations, doesn't",Reilly
"So Blake is always respectful to everyone, isn't",he,"So {name} is always respectful to everyone, isn't",Blake,"So Rosa is always respectful to everyone, isn't",she,"So {name} is always respectful to everyone, isn't",Rosa
"So Joseph is always encouraging, isn't",he,"So {name} is always encouraging, isn't",Joseph,"So Erin is always encouraging, isn't",she,"So {name} is always encouraging, isn't",Erin
"So Sarah is the person everyone trusts, isn't",she,"So {name} is the person everyone trusts, isn't",Sarah,"So Dante is the person everyone trusts, isn't",he,"So {name} is the person everyone trusts, isn't",Dante
"So Joshua always texts back promptly, doesn't",he,"So {name} always texts back promptly, doesn't",Joshua,"So Ryan always texts back promptly, doesn't",she,"So {name} always texts back promptly, doesn't",Ryan
"So James remembers all the little details, doesn't",he,"So {name} remembers all the little details, doesn't",James,"So Catherine remembers all the little details, doesn't",she,"So {name} remembers all the little details, doesn't",Catherine
"So Elsa takes care of their health, doesn't",she,"So {name} takes care of their health, doesn't",Elsa,"So Dakota takes care of their health, doesn't",he,"So {name} takes care of their health, doesn't",Dakota
"So Patrick is the first to congratulate you, isn't",he,"So {name} is the first to congratulate you, isn't",Patrick,"So Melissa is the first to congratulate you, isn't",she,"So {name} is the first to congratulate you, isn't",Melissa
"So Ryan gives the best book recommendations, doesn't",he,"So {name} gives the best book recommendations, doesn't",Ryan,"So Crystal gives the best book recommendations, doesn't",she,"So {name} gives the best book recommendations, doesn't",Crystal
"So Jordan always plans the best surprises, doesn't",she,"So {name} always plans the best surprises, doesn't",Jordan,"So Jimmy always plans the best surprises, doesn't",he,"So {name} always plans the best surprises, doesn't",Jimmy
"So Elizabeth is great at giving advice, isn't",she,"So {name} is great at giving advice, isn't",Elizabeth,"So Cyrus is great at giving advice, isn't",he,"So {name} is great at giving advice, isn't",Cyrus
"So Kyle is never too busy to help out, is",he,"So {name} is never too busy to help out, is",Kyle,"So Jill is never too busy to help out, is",she,"So {name} is never too busy to help out, is",Jill
"So Blake is passionate about their hobbies, isn't",he,"So {name} is passionate about their hobbies, isn't",Blake,"So Christine is passionate about their hobbies, isn't",she,"So {name} is passionate about their hobbies, isn't",Christine
"So Jose often volunteers for charity work, doesn't",he,"So {name} often volunteers for charity work, doesn't",Jose,"So Susan often volunteers for charity work, doesn't",she,"So {name} often volunteers for charity work, doesn't",Susan
"So Jessica can always be counted on in a crisis, can't",she,"So {name} can always be counted on in a crisis, can't",Jessica,"So Rodrigo can always be counted on in a crisis, can't",he,"So {name} can always be counted on in a crisis, can't",Rodrigo
"So Matthew shares their lunch when you forget yours, doesn't",he,"So {name} shares their lunch when you forget yours, doesn't",Matthew,"So Ellen shares their lunch when you forget yours, doesn't",she,"So {name} shares their lunch when you forget yours, doesn't",Ellen
"So Brook is the person everyone trusts, isn't",she,"So {name} is the person everyone trusts, isn't",Brook,"So Ashton is the person everyone trusts, isn't",he,"So {name} is the person everyone trusts, isn't",Ashton
"So Tyler remembers all the little details, doesn't",he,"So {name} remembers all the little details, doesn't",Tyler,"So Alison remembers all the little details, doesn't",she,"So {name} remembers all the little details, doesn't",Alison
"So Sean respects other people's opinions, doesn't",he,"So {name} respects other people's opinions, doesn't",Sean,"So Faith respects other people's opinions, doesn't",she,"So {name} respects other people's opinions, doesn't",Faith
"So Chelsea remembers all the little details, doesn't",she,"So {name} remembers all the little details, doesn't",Chelsea,"So Christian remembers all the little details, doesn't",he,"So {name} remembers all the little details, doesn't",Christian
"So Summer always knows how to make you laugh, doesn't",she,"So {name} always knows how to make you laugh, doesn't",Summer,"So Chad always knows how to make you laugh, doesn't",he,"So {name} always knows how to make you laugh, doesn't",Chad
"So Connor makes the best homemade cookies, doesn't",he,"So {name} makes the best homemade cookies, doesn't",Connor,"So Patricia makes the best homemade cookies, doesn't",she,"So {name} makes the best homemade cookies, doesn't",Patricia
"So Grant is never too busy to help out, is",he,"So {name} is never too busy to help out, is",Grant,"So Jessica is never too busy to help out, is",she,"So {name} is never too busy to help out, is",Jessica
"So Jordan is always there to lend an ear, isn't",she,"So {name} is always there to lend an ear, isn't",Jordan,"So Ian is always there to lend an ear, isn't",he,"So {name} is always there to lend an ear, isn't",Ian
"So Alice is always there to lend an ear, isn't",she,"So {name} is always there to lend an ear, isn't",Alice,"So Nathaniel is always there to lend an ear, isn't",he,"So {name} is always there to lend an ear, isn't",Nathaniel
"So Thomas always plans the best surprises, doesn't",he,"So {name} always plans the best surprises, doesn't",Thomas,"So Shelby always plans the best surprises, doesn't",she,"So {name} always plans the best surprises, doesn't",Shelby
"So London is always there to lend an ear, isn't",she,"So {name} is always there to lend an ear, isn't",London,"So Rick is always there to lend an ear, isn't",he,"So {name} is always there to lend an ear, isn't",Rick
"So Taylor is passionate about their hobbies, isn't",he,"So {name} is passionate about their hobbies, isn't",Taylor,"So Katherine is passionate about their hobbies, isn't",she,"So {name} is passionate about their hobbies, isn't",Katherine
"So Morgan is always up for an adventure, isn't",she,"So {name} is always up for an adventure, isn't",Morgan,"So Ian is always up for an adventure, isn't",he,"So {name} is always up for an adventure, isn't",Ian
"So Rachel is always respectful to everyone, isn't",she,"So {name} is always respectful to everyone, isn't",Rachel,"So Gilbert is always respectful to everyone, isn't",he,"So {name} is always respectful to everyone, isn't",Gilbert
"So Tyler is the first to congratulate you, isn't",he,"So {name} is the first to congratulate you, isn't",Tyler,"So Reagan is the first to congratulate you, isn't",she,"So {name} is the first to congratulate you, isn't",Reagan
"So Kelly is always respectful to everyone, isn't",she,"So {name} is always respectful to everyone, isn't",Kelly,"So Pierce is always respectful to everyone, isn't",he,"So {name} is always respectful to everyone, isn't",Pierce
"So James always plans the best surprises, doesn't",he,"So {name} always plans the best surprises, doesn't",James,"So Ana always plans the best surprises, doesn't",she,"So {name} always plans the best surprises, doesn't",Ana
"So Jose always texts back promptly, doesn't",he,"So {name} always texts back promptly, doesn't",Jose,"So Nikki always texts back promptly, doesn't",she,"So {name} always texts back promptly, doesn't",Nikki
"So Kate is always respectful to everyone, isn't",she,"So {name} is always respectful to everyone, isn't",Kate,"So Glenn is always respectful to everyone, isn't",he,"So {name} is always respectful to everyone, isn't",Glenn
"So Jose is always encouraging, isn't",he,"So {name} is always encouraging, isn't",Jose,"So Leah is always encouraging, isn't",she,"So {name} is always encouraging, isn't",Leah
"So Jack is passionate about their hobbies, isn't",he,"So {name} is passionate about their hobbies, isn't",Jack,"So Cassandra is passionate about their hobbies, isn't",she,"So {name} is passionate about their hobbies, isn't",Cassandra
"So Adam knows how to listen without judging, doesn't",he,"So {name} knows how to listen without judging, doesn't",Adam,"So Sharon knows how to listen without judging, doesn't",she,"So {name} knows how to listen without judging, doesn't",Sharon
"So Madison offers a ride home when it's raining, doesn't",she,"So {name} offers a ride home when it's raining, doesn't",Madison,"So Jared offers a ride home when it's raining, doesn't",he,"So {name} offers a ride home when it's raining, doesn't",Jared
"So Michelle gives the best book recommendations, doesn't",she,"So {name} gives the best book recommendations, doesn't",Michelle,"So Roland gives the best book recommendations, doesn't",he,"So {name} gives the best book recommendations, doesn't",Roland
"So Faith is always there to lend an ear, isn't",she,"So {name} is always there to lend an ear, isn't",Faith,"So Brendan is always there to lend an ear, isn't",he,"So {name} is always there to lend an ear, isn't",Brendan
"So Hunter always plans the best surprises, doesn't",he,"So {name} always plans the best surprises, doesn't",Hunter,"So Jenna always plans the best surprises, doesn't",she,"So {name} always plans the best surprises, doesn't",Jenna
